attack_chain,uuid,process_name,label
fivedirections_3.4_success, 8369E7BB-1CB8-4248-BB56-EEB748F1E10F, firefox.exe, attack
fivedirections_3.4_success, 55EDF92B-D67A-492F-9B1C-C613DF9701B5, proc6133, attack
fivedirections_3.4_success, 255E412F-EFDC-4A34-AACB-878071C24533, proc5886, attack
fivedirections_3.4_success, 5603EF58-784C-47D7-9925-3A13349B4713, proc6112, attack
fivedirections_3.4_success, CA0A831B-BCF9-4A1D-89A7-0AFAFC1C0D69, proc44933, attack
fivedirections_3.4_success, C2B5C45D-591A-4E9C-B24B-DAC53439E06E, proc44954, attack
fivedirections_3.4_success, 8E7BC429-54A1-44B1-A784-A43880730AB3, proc5880, attack
fivedirections_3.4_success, EE57A842-0163-41B8-A9E6-7EA13F59793A, proc6636, attack
fivedirections_3.4_success, 9651B83C-DAEF-46AD-8928-F5AF39CA61DC, proc6231, attack
fivedirections_3.4_success, 98EE413B-E764-4B15-BEBC-CD01D7D53422, proc6225, attack
fivedirections_3.4_success, 8D1696CF-1210-4A9D-8372-16B2B5ABDEAF, proc8757, attack
fivedirections_3.4_success, DDBFFF92-F0B9-446E-B040-500554D02B56, proc6249, attack
fivedirections_3.4_success, D17253F2-6158-4BFB-B597-8749D946113C, proc6283, attack
fivedirections_3.4_success, C0AFD08C-6C4C-4500-8063-828CB548EF5C, proc44959, attack
fivedirections_3.4_success, 1192297C-47D0-4A84-B152-B92C6B69D081, proc6238, attack
fivedirections_3.4_success, 7E7ED3EB-36C3-48BC-BAA6-F1DEB3919990, proc8803, attack
fivedirections_3.4_success, 58DD4303-407A-44D2-97E1-05265311A419, proc5983, attack
fivedirections_3.4_success, 51200002-48DF-4546-8CC9-07A6DF1CB949, proc5919, attack
fivedirections_3.10_success_pass_mgr, 8938B732-0D90-4C0D-8305-F1A9BD61F7E2, pass_mgr.exe, attack
fivedirections_3.10_success_pass_mgr, C5061FD8-B9EE-4119-8953-1B63E93DDA17, proc54716, attack
fivedirections_3.10_success_pass_mgr, 6DEB1FCB-CD94-4C14-BD95-E2DC1E087105, proc6860, attack
fivedirections_3.10_success_pass_mgr, 7E7ED3EB-36C3-48BC-BAA6-F1DEB3919990, proc8803, attack
fivedirections_3.10_success_pass_mgr, 1192297C-47D0-4A84-B152-B92C6B69D081, proc6238, contaminated
fivedirections_3.10_success_pass_mgr, 9FA60DBE-D055-4223-B807-8E400ECDF222, proc6276, attack
fivedirections_3.10_success_pass_mgr, DBB3CE15-FD60-4F2F-81D8-8CE1E0911619, proc54759, contaminated
fivedirections_3.10_success_pass_mgr, 2E0553CD-66F8-4DFE-A9A1-67821FFEDC10, pass_mgr.exe, attack
fivedirections_3.10_success_pass_mgr, 255E412F-EFDC-4A34-AACB-878071C24533, proc5886, attack
fivedirections_3.10_success_pass_mgr, 7B4B4A58-347F-47ED-B78D-F48621264D6A, proc54777, attack
fivedirections_3.10_fail_hJauWl01, 7082E8FD-A4A6-4198-82D7-1A3165474B89, hJauWl01, attack
fivedirections_3.10_fail_hJauWl01, 7E7ED3EB-36C3-48BC-BAA6-F1DEB3919990, proc8803, attack
fivedirections_3.10_fail_hJauWl01, 6DEB1FCB-CD94-4C14-BD95-E2DC1E087105, proc6860, attack
fivedirections_3.10_fail_hJauWl01, 1192297C-47D0-4A84-B152-B92C6B69D081, proc6238, attack
fivedirections_3.10_fail_hJauWl01, 9FA60DBE-D055-4223-B807-8E400ECDF222, proc6276, attack
fivedirections_3.10_fail_hJauWl01, 5108C87E-F0C0-42F8-B6C3-5C57CA4CC76C, proc54776, attack
fivedirections_4.4_powershell, 9ED8A6DD-4421-49EF-952C-95345205919B, powershell.exe, contaminated
fivedirections_4.4_powershell, 6DEB1FCB-CD94-4C14-BD95-E2DC1E087105, proc6860, contaminated
fivedirections_4.4_powershell, 9FA60DBE-D055-4223-B807-8E400ECDF222, proc6276, contaminated
fivedirections_4.4_powershell, 58DD4303-407A-44D2-97E1-05265311A419, proc5983, contaminated
fivedirections_4.4_powershell, 5603EF58-784C-47D7-9925-3A13349B4713, proc6112, contaminated
fivedirections_4.4_powershell, 255E412F-EFDC-4A34-AACB-878071C24533, proc5886, contaminated
fivedirections_4.4_powershell, D0143D0D-AEAF-4075-A652-B7A560DFB3C3, proc28556, contaminated
fivedirections_4.4_powershell, 1192297C-47D0-4A84-B152-B92C6B69D081, proc6238, contaminated
fivedirections_4.4_cmd, 3E1C1557-0411-45D1-82A3-F981A37FAF80, cmd.exe, contaminated
fivedirections_4.4_cmd, 6DEB1FCB-CD94-4C14-BD95-E2DC1E087105, proc6860, contaminated
fivedirections_4.4_cmd, 1192297C-47D0-4A84-B152-B92C6B69D081, proc6238, contaminated
fivedirections_4.4_cmd, 55EDF92B-D67A-492F-9B1C-C613DF9701B5, proc6133, contaminated
fivedirections_4.4_cmd, B68EADD6-C3E5-4EC8-A2AC-1CD14269AB66, proc5922, contaminated
fivedirections_4.4_cmd, 86371755-C67E-43FB-A2AF-2FEECDED22BA, proc31635, contaminated
fivedirections_4.4_cmd, 58DD4303-407A-44D2-97E1-05265311A419, proc5983, contaminated
fivedirections_4.4_cmd, 9FA60DBE-D055-4223-B807-8E400ECDF222, proc6276, contaminated
